,cell_name,target_site,pub_geno,pub_pmax,lp_state
0,colony-21229,1,5,1.0,5
1,colony-21230,1,0,0.993,0
2,colony-21240,1,0,0.95,0
3,colony-21241,1,0,1.0,0
4,colony-21244,1,4,1.0,4
5,colony-21247,1,0,1.0,0
6,colony-21248,1,0,0.963,0
7,colony-21249,1,8,0.996,8
8,colony-21250,1,0,1.0,0
9,colony-21253,1,0,1.0,0
10,colony-21255,1,0,0.902,0
11,colony-21257,1,4,0.999,4
12,colony-21258,1,0,1.0,0
13,colony-21261,1,0,0.988,0
14,colony-21262,1,8,1.0,8
15,colony-21263,1,0,1.0,0
16,colony-21265,1,0,1.0,0
17,colony-21266,1,0,0.998,0
18,colony-21267,1,3,0.999,3
19,colony-21268,1,0,1.0,0
20,colony-21269,1,0,0.999,0
21,colony-21270,1,3,1.0,3
22,colony-21271,1,0,0.998,0
23,colony-21272,1,0,0.989,0
24,colony-21274,1,0,1.0,0
25,colony-21275,1,0,1.0,0
26,colony-21277,1,0,1.0,0
27,colony-21280,1,0,1.0,0
28,colony-21281,1,8,1.0,8
29,colony-21283,1,0,1.0,0
30,colony-21284,1,0,1.0,0
31,colony-21285,1,0,1.0,0
32,colony-21286,1,0,0.99,0
33,colony-21287,1,5,1.0,5
34,colony-21288,1,0,1.0,0
35,colony-21290,1,0,1.0,0
36,colony-21291,1,0,0.995,0
37,colony-21293,1,0,1.0,0
38,colony-21294,1,0,0.98,0
39,colony-21295,1,0,1.0,0
40,colony-21299,1,5,0.999,5
41,colony-21303,1,0,1.0,0
42,colony-21304,1,0,1.0,0
43,colony-21305,1,0,0.998,0
44,colony-21309,1,2,0.999,2
45,colony-21311,1,0,1.0,0
46,colony-21312,1,0,0.997,0
47,colony-21322,1,8,1.0,8
48,colony-21325,1,0,1.0,0
49,colony-21329,1,0,0.999,0
50,colony-21332,1,0,0.999,0
51,colony-21333,1,8,1.0,8
52,colony-21335,1,8,1.0,8
53,colony-21336,1,0,0.99,0
54,colony-21338,1,0,0.987,0
55,colony-21339,1,0,1.0,0
56,colony-21340,1,8,1.0,8
57,colony-21341,1,0,0.984,0
58,colony-21344,1,0,0.998,0
59,colony-21345,1,0,1.0,0
60,colony-21347,1,7,0.97,7
61,colony-21348,1,5,0.999,5
62,colony-21349,1,0,1.0,0
63,colony-21350,1,7,0.974,7
64,colony-21353,1,0,1.0,0
65,colony-21354,1,2,1.0,2
66,colony-21356,1,3,1.0,3
67,colony-21357,1,0,1.0,2
68,colony-21358,1,5,0.882,5
69,colony-21359,1,0,1.0,0
70,colony-21360,1,8,0.999,8
71,colony-21361,1,0,0.981,0
72,colony-21362,1,0,1.0,0
73,colony-21363,1,0,1.0,0
74,colony-21364,1,0,0.994,0
75,colony-21367,1,0,1.0,0
76,colony-21370,1,0,1.0,0
77,colony-21371,1,0,1.0,0
78,colony-21372,1,0,1.0,0
79,colony-21373,1,0,1.0,0
80,colony-21375,1,2,1.0,2
81,colony-21376,1,0,1.0,0
82,colony-21378,1,0,1.0,0
83,colony-21379,1,0,1.0,0
84,colony-21381,1,0,0.978,7
85,colony-21382,1,0,1.0,0
86,colony-21384,1,0,1.0,0
87,colony-21387,1,0,1.0,0
88,colony-21388,1,2,1.0,2
89,colony-21392,1,0,1.0,0
90,colony-21394,1,2,1.0,2
91,colony-21395,1,0,1.0,0
92,colony-21397,1,0,0.997,0
93,colony-21398,1,0,1.0,0
94,colony-21399,1,8,1.0,8
95,colony-21400,1,0,1.0,0
96,colony-21401,1,0,1.0,0
97,colony-21402,1,2,1.0,2
98,colony-21403,1,0,1.0,0
99,colony-21404,1,3,1.0,3
100,colony-21406,1,0,1.0,0
101,colony-21410,1,0,0.997,0
102,colony-21412,1,0,1.0,0
103,colony-21414,1,0,1.0,0
104,colony-21417,1,0,1.0,0
105,colony-21418,1,2,1.0,2
106,colony-21419,1,0,1.0,0
107,colony-21420,1,0,1.0,0
108,colony-21421,1,1,0.323,8
109,colony-21422,1,0,1.0,0
110,colony-21424,1,0,1.0,0
111,colony-21425,1,0,0.988,0
112,colony-21426,1,0,1.0,0
113,colony-21427,1,0,1.0,0
114,colony-21429,1,0,1.0,0
115,colony-21430,1,0,1.0,0
116,colony-21431,1,0,1.0,0
117,colony-21432,1,2,0.992,2
118,colony-21437,1,0,1.0,0
119,colony-21438,1,4,1.0,4
120,colony-21440,1,0,1.0,0
121,colony-21441,1,0,1.0,0
122,colony-21442,1,0,1.0,0
123,colony-21445,1,0,1.0,0
124,colony-21447,1,0,1.0,0
125,colony-21449,1,0,0.998,0
126,colony-21453,1,0,1.0,0
127,colony-21455,1,0,0.999,0
128,colony-21461,1,0,0.997,0
129,colony-21464,1,3,1.0,3
130,colony-21469,1,5,0.995,5
131,colony-21470,1,0,0.839,0
132,colony-21471,1,0,0.973,0
133,colony-21472,1,0,0.939,0
134,colony-21474,1,8,1.0,8
135,colony-21475,1,0,1.0,0
136,colony-21476,1,0,1.0,0
137,colony-21477,1,0,0.999,0
138,colony-21478,1,0,1.0,0
139,colony-21480,1,0,1.0,0
140,colony-21483,1,8,0.999,8
141,colony-21488,1,0,1.0,0
142,colony-21489,1,0,1.0,0
143,colony-21491,1,0,1.0,0
144,colony-21492,1,0,1.0,0
145,colony-21493,1,0,1.0,0
146,colony-21495,1,0,1.0,0
147,colony-21497,1,0,0.971,0
148,colony-21498,1,0,1.0,0
149,colony-21500,1,0,1.0,0
150,colony-21503,1,0,1.0,0
151,colony-21504,1,0,0.992,0
152,colony-21505,1,0,1.0,0
153,colony-21506,1,0,0.532,0
154,colony-21507,1,0,1.0,0
155,colony-21509,1,0,1.0,0
156,colony-21510,1,0,1.0,0
157,colony-21511,1,0,1.0,0
