,Dim_0,Dim_1
internal_695,-1916.5662018476137,-1335.2111935273479
internal_700,-1915.711343844706,-1337.1684427535504
internal_982,-1950.012678769855,-1258.633456812502
internal_697,-1918.843778138286,-1339.7824064932338
internal_704,-1911.4274017102978,-1336.4628694558369
internal_698,-1916.8846589652512,-1378.3202679771262
internal_701,-1922.1858152205193,-1338.273270756919
internal_711,-1873.4043043734084,-1350.3447913760192
internal_707,-1925.3032541417297,-1323.4364181635067
internal_1246,-1941.1040752335296,-1418.7135566947802
internal_699,-1923.2810204289206,-1332.902146898662
internal_919,-1938.2393363387248,-1338.569000220548
internal_709,-1824.6429383892223,-1391.9130930164397
internal_785,-1845.7573584604302,-1343.160122615095
internal_955,-1973.8928868918194,-1366.555583694898
internal_943,-1921.994048212482,-1278.4149618622448
internal_1256,-1870.0315996238708,-1429.148521865469
internal_1248,-2025.096241137845,-1433.0828025302178
internal_1376,-1924.812376578453,-1316.2625737559365
internal_1280,-1926.105572361407,-1357.7666294111937
internal_983,-1941.1617470795634,-1331.582592568367
internal_984,-1961.128213560283,-1406.7341629077896
internal_712,-1794.7403387211373,-1395.8013459801855
internal_710,-1806.8303358843302,-1459.5366085524838
internal_822,-1826.4150806531202,-1346.8071580006763
internal_853,-1849.173445104953,-1325.579371462279
internal_921,-1975.3820501950254,-1419.886901594271
internal_920,-1998.178491972729,-1376.4796566889
internal_944,-1932.8769854736406,-1254.282452344314
internal_954,-1905.7837267159794,-1244.5325905822472
internal_1269,-1808.7098802409944,-1432.0310461232596
internal_1261,-1844.8874876457114,-1435.03811390538
internal_1247,-2060.4105273705914,-1457.8408413413606
internal_1249,-2078.2746858037085,-1422.9405770951034
internal_1377,-1924.1765862639284,-1313.761444578275
internal_1277,-1899.5952274361985,-1373.3442717992205
internal_1281,-1938.3711960009316,-1355.0595532063892
internal_1043,-1949.3687886317418,-1340.8150322565425
internal_985,-1939.5862379933396,-1323.9515439131467
internal_1224,-1950.866442453097,-1423.557714891716
internal_1225,-2019.883792580208,-1464.247494859301
internal_747,-1787.5969123854,-1403.3316270260498
internal_750,-1776.4134351400662,-1395.0065321605734
internal_708,-1761.3834187218133,-1474.0337459993773
internal_779,-1826.0495789942615,-1519.1778367108516
internal_787,-1794.1758091037452,-1311.5019338336415
internal_786,-1804.3169003583257,-1391.0754030727926
internal_839,-1847.4407149309745,-1254.2068098583184
internal_823,-1850.9761451169768,-1346.4513358629413
internal_929,-1858.079411877022,-1413.0251501873292
internal_922,-2012.1643113510381,-1442.1674037354117
internal_965,-2016.7519500607714,-1388.6847218414543
internal_962,-2032.342227076104,-1383.3843991927165
internal_961,-1986.1931778949538,-1291.4489414401464
internal_945,-1919.1949770371505,-1181.559705145558
internal_713,-1885.531287900733,-1200.4889467938474
internal_1270,-1771.2360258166505,-1365.9731119181163
internal_1266,-1841.305712960771,-1436.7099028988353
internal_1258,-1801.8736828074964,-1439.0723137828245
internal_1273,-2078.079914133728,-1512.5373059610163
internal_1253,-2103.4092660976858,-1445.5927293345144
internal_1255,-2128.980149747967,-1377.994820954184
internal_1380,-1923.7260095196884,-1357.9894138313132
internal_1379,-1923.0982922669914,-1299.9828955582543
internal_1279,-1869.1713759534891,-1384.8097879600384
internal_1278,-1901.5339766635477,-1374.7790733879467
internal_1283,-1962.053327627371,-1359.2067718792125
internal_1282,-1921.6522320117665,-1343.3005630844307
internal_1084,-1978.7909456330533,-1356.7737135799746
internal_1105,-1942.3384684301066,-1363.0301852662767
internal_991,-1939.9054422775355,-1313.3026469868562
internal_993,-1910.6755611243595,-1235.847481733438
internal_1231,-1936.4786752735695,-1472.2653897065115
internal_1226,-1943.4007826226814,-1426.1471538211263
internal_1235,-2135.27387627215,-1461.346497247796
internal_1233,-2003.0561139405395,-1488.8636202856705
internal_731,-1777.3655758781988,-1418.3935937789017
internal_751,-1797.8074873173164,-1381.4627861785848
internal_759,-1730.6795148812275,-1348.0167224076984
internal_752,-1764.227879237359,-1417.8977710788452
internal_780,-1834.3960867794265,-1544.5966264683918
internal_788,-1779.2109376340125,-1304.8382437991995
internal_792,-1786.4653296429628,-1278.4057730411566
internal_813,-1795.0479881107563,-1390.9517483052934
internal_803,-1805.330973095099,-1411.5538413856164
internal_842,-1847.1579944596601,-1241.5769111826344
internal_824,-1848.8055703010714,-1395.8644099909866
internal_930,-1868.8424804940048,-1490.4951297626028
internal_923,-1997.204935996117,-1474.2858440903378
internal_941,-2088.3426421914487,-1420.1460700034418
internal_966,-2020.5927244373518,-1393.0541623685738
