,Dim_0,Dim_1
internal_695,-1924.1986614695481,-1316.195210580089
internal_696,-1921.8127924818532,-1311.8093196353168
internal_1127,-1936.0178156551785,-1337.9221040453087
internal_697,-1921.089030312521,-1303.1666257551742
internal_1013,-1919.1250629598942,-1313.3386339186357
internal_1128,-1925.568953303904,-1325.231203883865
internal_1222,-1952.371000729137,-1362.9375426666682
internal_699,-1917.243922300438,-1301.301722257225
internal_698,-1949.1916858323289,-1250.0051661695938
internal_1114,-1922.2950556977812,-1305.2887942317398
internal_1014,-1878.4546354317638,-1373.3691881716127
internal_1129,-1911.1365129383805,-1274.23939151379
internal_1200,-1938.9237526804877,-1397.701141318956
internal_1223,-1970.8951091292208,-1392.5298518780573
internal_1356,-1954.9011194049083,-1365.6573002835553
internal_700,-1904.9062957622225,-1298.598619277447
internal_881,-1928.0127544704796,-1301.721929703901
internal_1115,-1922.226094558338,-1303.3136202737446
internal_1015,-1917.735013653682,-1364.940093732484
internal_1110,-1850.1029143956841,-1391.189558365698
internal_1148,-1908.0775203650917,-1248.7786622084454
internal_1130,-1890.200696148804,-1211.5560688097926
internal_1217,-1915.7127886032015,-1462.6757201939467
internal_1201,-1976.484437266114,-1448.97535543443
internal_1285,-1979.4700095738344,-1412.0597860039113
internal_1224,-1981.528026045523,-1404.0395143660692
internal_1370,-1973.2224134282142,-1361.9998151742984
internal_1357,-1900.1209848223405,-1385.6029184247056
internal_735,-1881.6495936120639,-1296.5489797731432
internal_701,-1927.4626097329399,-1298.175317008901
internal_913,-1935.9574125682275,-1312.4710371544354
internal_882,-1933.6434781146856,-1278.6559551851096
internal_1116,-1922.4254958398528,-1291.4119333961853
internal_1016,-1932.4811729326602,-1358.73209655795
internal_1084,-1910.3450292393554,-1371.112351315349
internal_1113,-1828.6928300468526,-1388.3096182674294
internal_1111,-1845.0941277495467,-1398.2211839247434
internal_1149,-1889.34661143713,-1225.4016272230626
internal_1131,-1904.1202426003715,-1166.3833720171365
internal_1135,-1867.5213367078825,-1174.1470683461587
internal_1218,-1860.480779519804,-1528.2369388508578
internal_1220,-1923.4214856232036,-1481.083216347532
internal_1202,-2023.450468134484,-1467.2253176769764
internal_1286,-1967.16778545946,-1417.3883517111703
internal_1326,-2042.5251693762905,-1408.269057267391
internal_1225,-1999.658236949965,-1392.056030701086
internal_1228,-1981.0624990768772,-1411.0459476222295
internal_1388,-2029.3265162046735,-1356.3446836148241
internal_1371,-1972.8598924637113,-1360.2225733638418
internal_1358,-1844.8267927810468,-1508.1597931672786
internal_1359,-1903.2789221459218,-1352.373183506276
internal_736,-1863.7107712551995,-1219.263122478234
internal_754,-1839.958639557012,-1338.7325473076178
internal_702,-1985.6580682730148,-1336.3760995081636
internal_914,-1945.1088745251166,-1352.5915141489797
internal_969,-1932.4544492165833,-1272.817923054373
internal_883,-1934.0886024296442,-1282.6846144149201
internal_1123,-1920.8035184962084,-1288.4057489048555
internal_1117,-1927.1807685463186,-1281.3296810501313
internal_1017,-1912.1022308594281,-1345.8919658325224
internal_1057,-1977.2818756857653,-1361.2705476230249
internal_1085,-1905.3493791352619,-1387.964251465477
