,Dim_0,Dim_1
internal_832,-1911.2247777524315,-1317.6244387519594
internal_833,-1916.0454301995753,-1318.4122164204891
internal_1356,-1893.1433633718032,-1317.0620725095268
internal_988,-1916.4045845353571,-1317.2416770174168
internal_834,-1916.8237971868161,-1317.9300194949806
internal_860,-1925.2856515428707,-1321.324701610117
internal_1357,-1907.7759340011332,-1309.9841762287801
internal_1525,-1850.9195958546895,-1327.5306886623603
internal_1348,-1915.1319646180218,-1292.467932097428
internal_989,-1921.2683989724972,-1323.9291035907038
internal_835,-1920.404928261634,-1317.1469584028355
internal_970,-1929.710520131089,-1312.2986730716439
internal_862,-1948.679920096932,-1381.3513888623838
internal_1636,-1916.184759806696,-1297.633036211945
internal_1401,-1913.420016351006,-1312.1659320712984
internal_1618,-1817.3343892865553,-1328.5825176798144
internal_1526,-1830.2741503724055,-1335.0728613385304
internal_1320,-1918.2581554979529,-1323.1116000425136
internal_990,-1936.8155674018637,-1340.2211380563353
internal_836,-1917.0591552052272,-1322.9730964405167
internal_971,-1927.3113292603468,-1314.047263995016
internal_975,-1981.3834588094078,-1228.2893395420635
internal_927,-1979.9685477787807,-1401.2227541393622
internal_893,-1934.5173373549915,-1378.705680221136
internal_894,-1944.6202857435635,-1398.146587041542
internal_1658,-1932.17563021723,-1286.9901271574363
internal_1648,-1949.3951580760174,-1267.066578893319
internal_1638,-1903.8232062390487,-1305.0746819903957
internal_1402,-1938.2754672041801,-1298.0486914695086
internal_1358,-1865.0850623603287,-1353.4913097313797
internal_1635,-1828.4443890532546,-1304.1073394863727
internal_1634,-1806.5324569565346,-1336.383782743595
internal_1527,-1820.3963010402001,-1359.0092841157257
internal_1597,-1804.5268779969992,-1341.157185479847
internal_1598,-1842.217265971587,-1307.259966368746
internal_1337,-1918.144635534057,-1351.6932163307574
internal_1321,-1912.8502904903332,-1290.925815461547
internal_991,-1942.7879912994904,-1375.765896695271
internal_1141,-1941.1520104865158,-1328.1719643640056
internal_837,-1912.4578439317083,-1312.801613292814
internal_977,-1902.6378615671406,-1392.5062109179396
internal_960,-2005.9810995644857,-1398.2162443721832
internal_955,-2032.5526191365852,-1419.6007042406445
internal_929,-1952.4587786673817,-1408.9469094518415
internal_920,-1925.8491668465558,-1365.4560175394479
internal_864,-1933.600683622367,-1389.2393958502848
internal_902,-1969.6995607001734,-1390.1028288078153
internal_903,-1861.0608769865585,-1458.4701608826838
internal_1659,-1896.254919160682,-1273.7423423592986
internal_1655,-1997.4041382342434,-1248.0474502213704
internal_1650,-1937.8660091070356,-1256.5257966463666
internal_1639,-1901.9468375073345,-1295.2639113629318
internal_1646,-1855.955892317875,-1366.5533907314314
internal_1403,-1944.4589789988038,-1274.2016915967126
internal_1446,-1965.6234950216935,-1296.029264291666
internal_1380,-1858.9126735029884,-1358.5267538536204
internal_1387,-1854.4447519845542,-1388.7446857759478
internal_1379,-1871.870423687073,-1321.6000119752716
internal_1361,-1840.6204729009812,-1362.2535900815703
internal_1619,-1799.2033921852906,-1307.2939088425094
internal_1528,-1797.430648716027,-1371.2390839841835
internal_1549,-1830.1887622951,-1368.9908026166231
internal_1610,-1775.0094160352116,-1353.2069113434745
internal_1560,-1797.2178267308013,-1340.3257357792222
internal_1599,-1855.191492332855,-1318.6651868300944
internal_1600,-1841.4244252118192,-1279.980277429362
internal_1346,-1912.8334937395123,-1355.3726670686094
internal_1324,-1907.2988036618622,-1297.2302687011825
internal_1331,-1913.0379081048727,-1260.468995834807
internal_992,-1942.367931543656,-1421.5958832738615
internal_1112,-1948.4632118346944,-1375.4709228245513
internal_1196,-1934.6706437846512,-1298.034101602865
internal_1242,-1966.5389683590417,-1363.1452052059947
internal_847,-1881.2680992234295,-1297.2750118227862
internal_840,-1899.9047990427273,-1353.6032121875319
internal_839,-1919.6574867913766,-1290.0002217579251
internal_978,-1875.345693433624,-1389.519524059886
internal_961,-1988.819054424142,-1439.968634820762
internal_964,-2117.16043828883,-1308.0870594356584
internal_959,-2077.2534189859844,-1392.3598665607915
internal_956,-2048.6057827956083,-1441.092332312692
internal_930,-1957.3670138652167,-1389.0497388987978
internal_939,-1874.3070539372286,-1474.5012340116916
internal_921,-1920.5580998500843,-1369.5606866907094
internal_866,-1924.1282570873734,-1374.9547666732833
internal_872,-1977.6143408026155,-1519.7559253977379
internal_904,-1899.8577407481578,-1342.9477686735754
internal_897,-2044.3846904654786,-1407.2874681361084
internal_1660,-1898.1930887137253,-1242.2103444381573
internal_1662,-1785.9068753829151,-1283.172297444118
internal_1651,-1933.9478435174922,-1241.6919632712584
internal_1640,-1858.8513755025756,-1234.89014797613
internal_1642,-2054.0771583856495,-1476.7395563789034
internal_1502,-1930.879281025845,-1251.4835011940809
internal_1404,-1963.8098084477415,-1278.0805604906511
internal_1473,-1984.4828212272548,-1313.3693684153134
internal_1474,-1993.577347227262,-1263.860830749956
internal_1381,-1839.4724992640918,-1363.554769034538
internal_1386,-1864.7888340650115,-1362.9864446237684
internal_1388,-1844.2817419717542,-1394.4905649657023
internal_1394,-1848.145300032851,-1472.6619688992153
internal_1374,-1846.4187020560207,-1270.11251112039
internal_1362,-1827.0059459598722,-1404.2094263820834
internal_1630,-1786.2286834202828,-1283.9434569635512
internal_1620,-1804.452085005628,-1304.2363157719903
internal_1550,-1782.027115291042,-1369.9320870563963
internal_1529,-1788.351701176753,-1384.7181024463878
internal_1547,-1887.8004500224047,-1374.3562592688281
internal_1557,-1821.7602193005855,-1366.6617984849925
internal_1543,-1799.2167924938797,-1396.6858806563487
internal_1611,-1761.7848856189198,-1393.4132904737364
internal_1612,-1781.4875662428792,-1268.385151271342
internal_1561,-1790.5998846885984,-1358.490790948333
internal_1562,-1796.3387253540377,-1318.5843350312564
internal_1605,-1971.83935815916,-1227.5763996420712
internal_1606,-1828.642918967011,-1349.959497100286
internal_1602,-1843.3532468860774,-1250.3208589393137
internal_1601,-1837.125924791045,-1273.956548722405
internal_1344,-1968.827888726504,-1463.086039244159
internal_1322,-1930.6906226794658,-1295.2266109923567
internal_1333,-1846.4685650389526,-1314.178111292208
internal_1329,-1895.1420758689897,-1236.7767886065596
internal_993,-1945.097474064097,-1429.083803128895
internal_1106,-1939.4385458128766,-1444.7705191397786
internal_1113,-1981.5596671770534,-1400.8971007848322
internal_1128,-1913.1427714730796,-1342.5941604080447
internal_1197,-1912.9316499110273,-1242.803624908512
internal_1142,-1938.7132343596907,-1291.7921981763016
internal_1245,-1952.2853705084124,-1371.268605751394
internal_1243,-1994.8151107584063,-1384.7334124773479
internal_841,-1926.490103456017,-1261.8449182434288
internal_980,-1850.3077917633816,-1411.2377970196742
internal_963,-1919.2051349416042,-1456.0398773045677
internal_966,-2157.5340088336116,-1327.9607727086109
internal_957,-2078.5123647138043,-1432.393702724588
internal_958,-2027.5175043266856,-1493.930220667045
internal_931,-1973.257601633751,-1363.6766894417115
internal_935,-1932.694408418453,-1397.9756955604578
internal_954,-1909.047708048566,-1573.1349502299552
internal_949,-1888.2623736316048,-1488.2757333874042
internal_924,-1871.4941164445866,-1296.090063053559
internal_922,-1947.9525877074063,-1428.4460443650041
internal_865,-1915.2757340280389,-1357.109836718224
internal_867,-1918.2389045399739,-1374.2412012163918
internal_907,-1859.9408089326228,-1370.2930279375964
internal_906,-1897.302882657904,-1320.9476036223873
internal_911,-1896.8512435298085,-1325.692098938726
internal_898,-2104.440193569119,-1446.2421353747643
internal_900,-2146.0810717383456,-1401.2726581974005
internal_1661,-1794.086200494057,-1215.2011923581292
internal_1652,-1893.0453431515784,-1191.3883310658666
internal_1641,-1856.4930442590355,-1203.7683665518784
internal_1643,-1797.5734036863741,-1178.480039705609
internal_1521,-1840.9053726325906,-1199.2481316883213
internal_1520,-1950.185278620567,-1250.1241247185646
internal_1405,-1995.2339016769504,-1269.3775771810185
internal_1406,-1952.4883947385754,-1290.3314218822118
internal_1447,-2025.9677923601514,-1402.7834102893078
internal_1501,-1981.2221870072244,-1271.7609498744448
internal_1475,-2018.5947403985467,-1307.1751655688404
internal_1492,-1991.0266070848202,-1209.5007127733995
internal_1383,-1857.6654022994514,-1342.6850304793343
internal_1382,-1796.505461086891,-1389.3418420204723
internal_1396,-1834.7697165668883,-1442.9586310242094
internal_1393,-1815.4735563802371,-1330.6810766576875
internal_1390,-1876.5318163418503,-1359.5868093769823
internal_1395,-1886.17894669225,-1527.298971863059
internal_1375,-1852.6692770673078,-1244.3989311056464
