,Dim_0,Dim_1
internal_27,1122.4152671141912,859.706851846611
internal_39,1114.2258583673374,886.8704123522967
internal_28,1136.1629034305886,814.1071312276969
internal_45,1174.5139179944226,946.2159595174458
internal_41,1074.6554511910529,934.1664869063775
internal_29,1251.4863936636564,870.8369087849304
internal_32,1086.1087906188798,730.6115274679365
internal_46,1093.5419023513189,1039.2515591355311
internal_40,873.8656705734536,1090.4932563411146
internal_47,1164.2276437497153,887.3117337905529
internal_31,1348.974678199054,1048.583079863704
internal_50,1271.4362146007131,760.9457708953055
internal_36,1148.5565937442561,687.4246696667166
internal_34,1019.0255820328725,658.906106451791
internal_42,817.1492983990574,1095.7722106250171
internal_48,1358.0792778259997,830.2076724846995
internal_49,1000.5838913766061,911.8666485889264
internal_30,1412.6403678802308,1108.5992857023155
internal_52,1356.4577218953923,1144.0764564042083
internal_51,1340.553829408884,615.126764657661
internal_35,1043.2425871712815,567.8408528488554
internal_33,926.7358052840212,615.8839750893854
internal_44,697.8659375778947,1159.6630032992814
internal_43,828.0677264217042,1052.8741972521948
internal_37,851.6848557137876,613.4370421928389
internal_38,833.9435075729515,654.210643227401
